MonthNumeric,MonthFactor,Year,CivicSales,Unemployment,CivicQueries,CPIAll,CPIEnergy,MilesTraveled,GasPrice
1,January,2014,21824,6.6,66,235.288,250.34,246531,3.331
2,February,2014,21575,6.7,69,235.547,249.925,249499,3.382
3,March,2014,27697,6.7,72,236.028,249.961,251120,3.546
4,April,2014,27611,6.2,69,236.468,249.864,251959,3.665
5,May,2014,36089,6.3,69,236.918,249.213,252289,3.678
6,June,2014,32301,6.1,70,237.231,249.714,252054,3.699
7,July,2014,30038,6.2,71,237.498,248.744,252111,3.615
8,August,2014,34032,6.1,70,237.46,245.699,252472,3.501
9,September,2014,22263,5.9,59,237.477,241.61,253485,3.431
10,October,2014,24254,5.7,62,237.43,237.061,254117,3.202
11,November,2014,23060,5.8,60,236.983,229.016,253099,2.957
12,December,2014,25337,5.6,57,236.252,218.536,255291,2.575
1,January,2015,18699,5.7,58,234.747,199.926,254967,2.136
2,February,2015,21038,5.5,63,235.342,203.021,254414,2.235
3,March,2015,26985,5.4,71,235.976,205.757,255735,2.433
4,April,2015,28380,5.4,72,236.222,203.577,257796,2.454
5,May,2015,34472,5.6,74,237.001,208.973,257531,2.661
6,June,2015,28727,5.3,70,237.657,212.015,258177,2.783
7,July,2015,31139,5.2,74,238.034,211.623,258012,2.75
8,August,2015,32031,5.1,75,238.033,208.579,259020,2.608
9,September,2015,28278,5.0,74,237.498,197.246,258671,2.369
10,October,2015,27789,5.0,72,237.733,195.616,257672,2.325
11,November,2015,25050,5.1,67,238.017,195.114,260006,2.188
12,December,2015,32796,5.0,65,237.761,190.143,261788,2.052
1,January,2016,26741,4.8,85,237.652,185.235,262611,1.949
2,February,2016,27707,4.9,86,237.336,176.401,261752,1.788
3,March,2016,32855,5.0,88,238.08,182.234,262392,1.996
4,April,2016,35331,5.1,84,238.992,186.713,264735,2.129
5,May,2016,35396,4.8,86,239.557,188.596,264565,2.303
6,June,2016,31810,4.9,83,240.222,192.899,264364,2.405
7,July,2016,32952,4.8,82,240.101,189.046,265645,2.263
8,August,2016,32807,4.9,83,240.545,188.772,264145,2.226
9,September,2016,28184,5.0,80,241.176,192.243,263573,2.27
10,October,2016,26359,4.9,80,241.741,195.979,266664,2.297
11,November,2016,25303,4.7,74,242.026,196.372,265314,2.219
12,December,2016,31482,4.7,73,242.637,199.513,267135,2.304
1,January,2017,23095,4.7,72,243.618,205.369,266509,2.396
2,February,2017,27039,4.6,79,244.006,204.133,265234,2.339
3,March,2017,31520,4.4,88,243.892,202.528,265123,2.355
4,April,2017,31211,4.5,85,244.193,202.954,270670,2.452
5,May,2017,31989,4.4,85,244.004,198.449,266153,2.415
6,June,2017,30909,4.3,92,244.163,197.808,266376,2.37
7,July,2017,36683,4.3,95,244.243,195.994,269548,2.326
8,August,2017,36482,4.4,91,245.183,201.45,267211,2.412
9,September,2017,35452,4.2,81,246.435,212.723,266506,2.689
10,October,2017,30319,4.1,82,246.626,208.328,268718,2.548
11,November,2017,31181,4.2,76,247.284,213.047,268212,2.59
12,December,2017,31406,4.1,74,247.805,213.574,272319,2.507
1,January,2018,23749,4.0,81,248.859,216.855,268361,2.585
2,February,2018,25816,4.1,79,249.529,220.141,267857,2.607
3,March,2018,32584,4.0,82,249.577,215.72,268556,2.607
4,April,2018,28399,4.0,81,250.227,219.165,273320,2.77
5,May,2018,34349,3.8,86,250.792,221.045,267556,2.882
6,June,2018,31345,4.0,89,251.018,220.947,269325,2.863
7,July,2018,26311,3.8,87,251.214,219.929,270452,2.833
8,August,2018,27677,3.8,88,251.663,222.781,267900,2.83
9,September,2018,24806,3.7,79,252.182,223.955,269877,2.832
10,October,2018,22450,3.8,79,252.772,226.022,270155,2.849
11,November,2018,21890,3.8,77,252.594,218.5,269052,2.63
12,December,2018,26384,3.9,69,252.767,213.63,277525,2.334
1,January,2019,21553,4.0,75,252.718,206.808,273421,2.214
2,February,2019,22979,3.8,79,253.322,209.143,272141,2.286
3,March,2019,33653,3.8,81,254.202,214.305,270920,2.503
4,April,2019,28436,3.7,81,255.211,222.3,271928,2.755
5,May,2019,32800,3.7,85,255.29,219.682,271676,2.796
